object_type,entry_time,exit_time,zone_of_entrance,zone_of_exit,camera_id
male,05.09.2025 00:15:54,05.09.2025 00:20:47,Entrance 1,Entrance 2,1
male,05.09.2025 00:45:34,05.09.2025 00:49:09,Entrance 1,Entrance 1,1
male,05.09.2025 00:56:45,05.09.2025 01:01:18,Entrance 1,Entrance 2,1
car,05.09.2025 00:25:07,05.09.2025 01:50:55,None,None,1
male,05.09.2025 02:08:13,05.09.2025 02:13:10,Entrance 1,Entrance 1,1
male,05.09.2025 02:15:52,05.09.2025 02:19:29,Entrance 1,Entrance 2,1
male,05.09.2025 02:33:03,05.09.2025 02:42:28,Entrance 1,None,2
male,05.09.2025 02:48:16,05.09.2025 02:52:41,Entrance 1,Entrance 1,2
car,05.09.2025 02:25:18,05.09.2025 02:53:05,None,None,1
male,05.09.2025 02:47:24,05.09.2025 02:55:24,Entrance 1,Entrance 2,1
car,05.09.2025 02:10:37,05.09.2025 03:09:19,None,None,1
female,05.09.2025 04:41:13,05.09.2025 04:51:13,Entrance 1,Entrance 1,1
male,05.09.2025 05:20:29,05.09.2025 05:25:08,Entrance 1,Entrance 1,2
female,05.09.2025 05:37:39,05.09.2025 05:40:39,Entrance 1,Entrance 1,2
male,05.09.2025 05:43:34,05.09.2025 05:46:34,Entrance 1,Entrance 1,2
female,05.09.2025 05:46:02,05.09.2025 05:50:47,Entrance 2,Entrance 2,1
car,05.09.2025 04:42:27,05.09.2025 06:38:50,None,None,1
female,05.09.2025 07:00:13,05.09.2025 07:03:13,Entrance 1,Entrance 2,1
male,05.09.2025 07:00:03,05.09.2025 07:03:50,None,Entrance 1,2
female,05.09.2025 07:00:40,05.09.2025 07:04:20,Entrance 1,Entrance 2,1
male,05.09.2025 07:00:20,05.09.2025 07:07:28,Entrance 1,Entrance 2,1
male,05.09.2025 07:05:44,05.09.2025 07:08:44,Entrance 1,Entrance 1,1
male,05.09.2025 07:04:02,05.09.2025 07:09:45,Entrance 2,Entrance 2,1
male,05.09.2025 07:04:19,05.09.2025 07:11:13,Entrance 1,Entrance 1,1
male,05.09.2025 07:08:00,05.09.2025 07:12:09,Entrance 1,Entrance 1,1
female,05.09.2025 07:08:35,05.09.2025 07:13:19,Entrance 2,Entrance 2,1
male,05.09.2025 07:10:54,05.09.2025 07:15:44,Entrance 2,Entrance 2,1
male,05.09.2025 07:06:36,05.09.2025 07:16:36,Entrance 2,Entrance 2,1
male,05.09.2025 07:13:58,05.09.2025 07:18:35,Entrance 1,None,1
male,05.09.2025 07:16:41,05.09.2025 07:19:41,Entrance 2,Entrance 1,1
male,05.09.2025 07:16:34,05.09.2025 07:21:32,Entrance 1,Entrance 1,2
female,05.09.2025 07:11:34,05.09.2025 07:21:34,Entrance 2,Entrance 1,1
male,05.09.2025 07:23:53,05.09.2025 07:30:40,Entrance 1,Entrance 1,2
car,05.09.2025 03:59:38,05.09.2025 07:30:55,None,None,2
male,05.09.2025 07:25:12,05.09.2025 07:33:11,Entrance 2,Entrance 1,1
male,05.09.2025 07:28:52,05.09.2025 07:33:41,Entrance 1,Entrance 2,1
female,05.09.2025 07:31:27,05.09.2025 07:34:37,Entrance 1,Entrance 1,2
female,05.09.2025 07:29:32,05.09.2025 07:35:20,Entrance 1,None,2
male,05.09.2025 07:34:36,05.09.2025 07:38:19,Entrance 1,Entrance 1,1
male,05.09.2025 07:35:29,05.09.2025 07:39:00,Entrance 1,Entrance 1,2
male,05.09.2025 07:35:12,05.09.2025 07:40:57,Entrance 1,Entrance 1,1
female,05.09.2025 07:36:55,05.09.2025 07:42:28,Entrance 1,Entrance 1,1
male,05.09.2025 07:35:55,05.09.2025 07:44:19,Entrance 2,Entrance 1,1
female,05.09.2025 07:40:09,05.09.2025 07:45:03,Entrance 1,Entrance 2,1
car,05.09.2025 07:16:26,05.09.2025 07:45:38,None,None,2
female,05.09.2025 07:42:45,05.09.2025 07:50:42,Entrance 1,Entrance 1,2
car,05.09.2025 07:00:00,05.09.2025 07:57:08,None,None,1
male,05.09.2025 07:54:02,05.09.2025 07:59:02,Entrance 1,Entrance 1,2
male,05.09.2025 08:00:18,05.09.2025 08:03:34,Entrance 1,Entrance 1,1
female,05.09.2025 08:00:50,05.09.2025 08:04:02,Entrance 1,Entrance 1,1
male,05.09.2025 08:01:57,05.09.2025 08:06:39,Entrance 1,Entrance 1,1
female,05.09.2025 08:02:12,05.09.2025 08:07:08,Entrance 2,Entrance 2,1
male,05.09.2025 08:00:06,05.09.2025 08:07:15,Entrance 1,Entrance 2,1
male,05.09.2025 08:00:20,05.09.2025 08:07:50,Entrance 2,Entrance 2,1
female,05.09.2025 08:01:36,05.09.2025 08:08:09,Entrance 1,Entrance 1,1
female,05.09.2025 08:01:59,05.09.2025 08:08:24,Entrance 2,Entrance 1,1
male,05.09.2025 08:05:25,05.09.2025 08:08:43,Entrance 1,Entrance 1,2
male,05.09.2025 08:05:09,05.09.2025 08:08:55,Entrance 1,Entrance 1,1
female,05.09.2025 08:03:15,05.09.2025 08:09:59,Entrance 2,Entrance 1,1
male,05.09.2025 08:03:57,05.09.2025 08:10:15,Entrance 1,None,1
car,05.09.2025 07:01:36,05.09.2025 08:10:26,None,None,2
female,05.09.2025 08:04:13,05.09.2025 08:10:57,Entrance 2,Entrance 1,1
male,05.09.2025 08:04:52,05.09.2025 08:11:00,Entrance 1,Entrance 1,1
female,05.09.2025 08:05:31,05.09.2025 08:11:32,Entrance 1,Entrance 1,2
female,05.09.2025 08:05:23,05.09.2025 08:11:44,Entrance 1,None,1
car,05.09.2025 07:44:41,05.09.2025 08:11:51,None,None,1
male,05.09.2025 08:06:47,05.09.2025 08:11:59,Entrance 2,Entrance 1,1
male,05.09.2025 08:07:42,05.09.2025 08:13:03,Entrance 1,Entrance 2,1
female,05.09.2025 08:06:09,05.09.2025 08:13:34,Entrance 1,Entrance 1,1
male,05.09.2025 08:06:10,05.09.2025 08:13:39,Entrance 2,Entrance 1,1
male,05.09.2025 08:09:47,05.09.2025 08:14:40,Entrance 1,Entrance 1,1
male,05.09.2025 08:10:48,05.09.2025 08:16:11,Entrance 1,Entrance 1,2
male,05.09.2025 08:12:32,05.09.2025 08:16:48,Entrance 1,Entrance 1,1
male,05.09.2025 08:09:29,05.09.2025 08:17:32,Entrance 1,Entrance 1,2
male,05.09.2025 08:10:45,05.09.2025 08:18:24,Entrance 1,Entrance 1,2
male,05.09.2025 08:14:05,05.09.2025 08:18:25,None,Entrance 1,1
male,05.09.2025 08:09:51,05.09.2025 08:18:30,Entrance 2,None,1
male,05.09.2025 08:14:55,05.09.2025 08:18:49,Entrance 1,Entrance 1,1
female,05.09.2025 08:13:27,05.09.2025 08:19:39,Entrance 2,Entrance 1,1
male,05.09.2025 08:17:43,05.09.2025 08:20:43,Entrance 1,Entrance 2,1
male,05.09.2025 08:11:27,05.09.2025 08:21:27,Entrance 1,Entrance 1,1
male,05.09.2025 08:16:17,05.09.2025 08:21:42,Entrance 1,Entrance 1,1
female,05.09.2025 08:12:11,05.09.2025 08:22:11,Entrance 1,Entrance 1,2
male,05.09.2025 08:18:04,05.09.2025 08:22:11,Entrance 1,Entrance 2,1
male,05.09.2025 08:14:59,05.09.2025 08:22:22,Entrance 1,Entrance 1,2
male,05.09.2025 08:15:44,05.09.2025 08:23:00,Entrance 1,Entrance 1,1
female,05.09.2025 08:15:36,05.09.2025 08:23:11,Entrance 1,Entrance 1,2
male,05.09.2025 08:20:51,05.09.2025 08:25:23,Entrance 1,Entrance 2,1
female,05.09.2025 08:19:38,05.09.2025 08:26:33,Entrance 1,Entrance 2,1
female,05.09.2025 08:18:01,05.09.2025 08:27:33,Entrance 2,Entrance 2,1
car,05.09.2025 07:25:20,05.09.2025 08:27:46,None,None,2
male,05.09.2025 08:22:04,05.09.2025 08:27:49,Entrance 1,Entrance 1,2
female,05.09.2025 08:26:28,05.09.2025 08:29:28,Entrance 1,Entrance 1,1
female,05.09.2025 08:21:38,05.09.2025 08:29:47,Entrance 2,Entrance 1,1
male,05.09.2025 08:24:08,05.09.2025 08:29:56,Entrance 1,Entrance 2,1
male,05.09.2025 08:23:16,05.09.2025 08:30:34,Entrance 1,Entrance 1,2
male,05.09.2025 08:27:17,05.09.2025 08:30:38,Entrance 1,Entrance 1,2
male,05.09.2025 08:20:53,05.09.2025 08:30:53,Entrance 2,Entrance 1,1
car,05.09.2025 07:54:25,05.09.2025 08:30:55,None,None,2
male,05.09.2025 08:24:56,05.09.2025 08:32:01,Entrance 2,Entrance 1,1
female,05.09.2025 08:25:26,05.09.2025 08:32:16,Entrance 1,Entrance 1,1
male,05.09.2025 08:22:24,05.09.2025 08:32:24,Entrance 2,Entrance 2,1
male,05.09.2025 08:29:16,05.09.2025 08:34:04,Entrance 1,Entrance 1,1
male,05.09.2025 08:26:21,05.09.2025 08:34:19,Entrance 1,None,2
male,05.09.2025 08:33:09,05.09.2025 08:36:09,Entrance 1,Entrance 1,2
female,05.09.2025 08:34:44,05.09.2025 08:38:18,Entrance 1,Entrance 1,2
male,05.09.2025 08:28:57,05.09.2025 08:38:57,Entrance 2,Entrance 1,1
male,05.09.2025 08:33:51,05.09.2025 08:39:40,Entrance 1,Entrance 1,1
male,05.09.2025 08:34:09,05.09.2025 08:40:50,Entrance 1,Entrance 2,1
male,05.09.2025 08:34:38,05.09.2025 08:41:33,Entrance 1,Entrance 1,2
car,05.09.2025 07:58:54,05.09.2025 08:41:52,None,None,2
female,05.09.2025 08:39:02,05.09.2025 08:43:12,Entrance 1,Entrance 2,1
male,05.09.2025 08:38:30,05.09.2025 08:43:31,None,Entrance 1,2
male,05.09.2025 08:36:49,05.09.2025 08:44:21,Entrance 1,Entrance 2,1
car,05.09.2025 08:04:46,05.09.2025 08:44:24,None,None,1
female,05.09.2025 08:40:07,05.09.2025 08:45:15,Entrance 1,Entrance 2,1
male,05.09.2025 08:42:27,05.09.2025 08:48:39,Entrance 1,Entrance 1,2
female,05.09.2025 08:47:42,05.09.2025 08:56:42,Entrance 1,Entrance 1,2
male,05.09.2025 08:52:10,05.09.2025 08:56:43,Entrance 1,Entrance 1,2
male,05.09.2025 08:50:17,05.09.2025 08:56:49,Entrance 1,Entrance 1,2
male,05.09.2025 08:54:49,05.09.2025 08:57:49,Entrance 1,None,2
male,05.09.2025 08:54:57,05.09.2025 09:00:20,Entrance 1,None,2
car,05.09.2025 07:31:00,05.09.2025 09:01:46,None,None,1
female,05.09.2025 08:56:52,05.09.2025 09:03:03,Entrance 1,Entrance 1,2
male,05.09.2025 08:58:11,05.09.2025 09:03:10,None,Entrance 1,2
male,05.09.2025 08:58:52,05.09.2025 09:03:15,None,Entrance 1,2
female,05.09.2025 09:00:10,05.09.2025 09:03:49,Entrance 1,None,1
male,05.09.2025 09:00:25,05.09.2025 09:03:53,Entrance 1,Entrance 1,1
female,05.09.2025 09:02:09,05.09.2025 09:05:20,Entrance 1,Entrance 1,1
male,05.09.2025 09:02:15,05.09.2025 09:05:23,Entrance 1,Entrance 1,2
female,05.09.2025 09:00:27,05.09.2025 09:05:52,Entrance 1,Entrance 2,1
male,05.09.2025 09:02:22,05.09.2025 09:05:53,Entrance 2,Entrance 1,1
male,05.09.2025 09:03:08,05.09.2025 09:06:08,Entrance 1,Entrance 1,1
female,05.09.2025 09:01:06,05.09.2025 09:06:37,Entrance 2,Entrance 2,1
male,05.09.2025 09:03:54,05.09.2025 09:07:13,Entrance 1,Entrance 1,1
female,05.09.2025 09:01:51,05.09.2025 09:07:56,Entrance 1,Entrance 2,1
male,05.09.2025 09:01:39,05.09.2025 09:08:07,Entrance 1,Entrance 2,1
male,05.09.2025 09:04:39,05.09.2025 09:08:44,None,Entrance 1,1
female,05.09.2025 09:05:25,05.09.2025 09:09:07,Entrance 1,Entrance 2,1
male,05.09.2025 09:00:03,05.09.2025 09:09:31,Entrance 2,Entrance 1,1
female,05.09.2025 09:05:08,05.09.2025 09:09:40,Entrance 1,Entrance 1,2
female,05.09.2025 09:00:39,05.09.2025 09:09:42,Entrance 2,Entrance 1,1
female,05.09.2025 09:04:57,05.09.2025 09:10:08,Entrance 1,Entrance 1,1
male,05.09.2025 09:03:56,05.09.2025 09:10:12,None,Entrance 2,1
male,05.09.2025 09:04:03,05.09.2025 09:10:17,Entrance 2,Entrance 2,1
male,05.09.2025 09:03:13,05.09.2025 09:10:30,Entrance 2,Entrance 1,1
male,05.09.2025 09:05:27,05.09.2025 09:10:35,None,Entrance 1,2
male,05.09.2025 09:04:45,05.09.2025 09:10:39,Entrance 1,Entrance 1,1
male,05.09.2025 09:00:51,05.09.2025 09:10:51,Entrance 2,Entrance 1,1
car,05.09.2025 08:44:47,05.09.2025 09:12:20,None,None,1
male,05.09.2025 09:03:49,05.09.2025 09:12:30,Entrance 1,None,2
car,05.09.2025 08:42:46,05.09.2025 09:12:35,None,None,1
male,05.09.2025 09:08:04,05.09.2025 09:12:43,Entrance 1,Entrance 2,1
male,05.09.2025 09:09:15,05.09.2025 09:13:23,None,Entrance 2,1
male,05.09.2025 09:07:01,05.09.2025 09:13:27,Entrance 1,Entrance 2,1
male,05.09.2025 09:04:54,05.09.2025 09:14:18,Entrance 2,Entrance 1,1
male,05.09.2025 09:09:19,05.09.2025 09:14:36,Entrance 1,Entrance 1,2
male,05.09.2025 09:08:51,05.09.2025 09:14:50,Entrance 1,Entrance 1,2
car,05.09.2025 08:21:34,05.09.2025 09:14:53,None,None,2
male,05.09.2025 09:05:15,05.09.2025 09:15:15,Entrance 2,Entrance 1,1
female,05.09.2025 09:08:19,05.09.2025 09:15:18,Entrance 2,Entrance 1,1
female,05.09.2025 09:10:00,05.09.2025 09:15:25,Entrance 1,Entrance 1,1
male,05.09.2025 09:05:51,05.09.2025 09:15:42,Entrance 2,Entrance 1,1
male,05.09.2025 09:06:00,05.09.2025 09:16:00,Entrance 2,Entrance 1,1
car,05.09.2025 07:50:16,05.09.2025 09:16:20,None,None,1
male,05.09.2025 09:13:35,05.09.2025 09:16:35,None,Entrance 1,1
male,05.09.2025 09:10:51,05.09.2025 09:16:43,Entrance 1,Entrance 2,1
male,05.09.2025 09:13:02,05.09.2025 09:16:45,Entrance 1,Entrance 2,1
female,05.09.2025 09:12:52,05.09.2025 09:16:47,Entrance 2,Entrance 1,1
female,05.09.2025 09:13:50,05.09.2025 09:16:50,Entrance 1,Entrance 2,1
female,05.09.2025 09:07:25,05.09.2025 09:17:05,Entrance 1,Entrance 1,1
male,05.09.2025 09:10:10,05.09.2025 09:17:42,Entrance 1,Entrance 2,1
male,05.09.2025 09:11:06,05.09.2025 09:17:45,Entrance 1,Entrance 1,2
female,05.09.2025 09:16:26,05.09.2025 09:20:04,Entrance 1,Entrance 2,1
male,05.09.2025 09:10:10,05.09.2025 09:20:10,Entrance 2,Entrance 2,1
female,05.09.2025 09:14:51,05.09.2025 09:20:20,Entrance 1,Entrance 1,2
male,05.09.2025 09:10:36,05.09.2025 09:20:32,Entrance 2,Entrance 2,1
car,05.09.2025 08:10:42,05.09.2025 09:20:59,None,None,1
male,05.09.2025 09:17:02,05.09.2025 09:21:14,Entrance 1,Entrance 2,1
male,05.09.2025 09:11:18,05.09.2025 09:21:18,Entrance 2,Entrance 2,1
male,05.09.2025 09:18:29,05.09.2025 09:21:29,Entrance 1,Entrance 2,1
female,05.09.2025 09:14:37,05.09.2025 09:21:49,Entrance 2,Entrance 1,1
female,05.09.2025 09:14:41,05.09.2025 09:21:51,Entrance 2,Entrance 2,1
male,05.09.2025 09:18:53,05.09.2025 09:22:00,Entrance 1,Entrance 1,2
female,05.09.2025 09:17:49,05.09.2025 09:22:17,Entrance 2,Entrance 1,1
male,05.09.2025 09:14:01,05.09.2025 09:22:26,Entrance 1,Entrance 2,1
male,05.09.2025 09:12:30,05.09.2025 09:22:30,Entrance 2,Entrance 2,1
male,05.09.2025 09:18:05,05.09.2025 09:23:01,Entrance 1,Entrance 2,1
female,05.09.2025 09:15:49,05.09.2025 09:24:34,Entrance 2,Entrance 2,1
female,05.09.2025 09:21:26,05.09.2025 09:25:05,Entrance 1,None,1
female,05.09.2025 09:15:49,05.09.2025 09:25:36,Entrance 2,None,1
male,05.09.2025 09:22:34,05.09.2025 09:26:08,Entrance 1,Entrance 1,1
car,05.09.2025 07:59:11,05.09.2025 09:26:17,None,None,2
male,05.09.2025 09:21:00,05.09.2025 09:26:21,Entrance 1,Entrance 1,1
male,05.09.2025 09:21:28,05.09.2025 09:26:30,Entrance 1,Entrance 1,2
female,05.09.2025 09:21:39,05.09.2025 09:26:45,Entrance 1,Entrance 1,2
female,05.09.2025 09:17:55,05.09.2025 09:26:47,Entrance 2,None,1
female,05.09.2025 09:24:32,05.09.2025 09:27:38,Entrance 1,Entrance 2,1
male,05.09.2025 09:20:38,05.09.2025 09:27:51,Entrance 1,Entrance 1,2
female,05.09.2025 09:22:33,05.09.2025 09:28:14,Entrance 1,Entrance 2,1
male,05.09.2025 09:21:22,05.09.2025 09:28:16,Entrance 1,Entrance 2,1
male,05.09.2025 09:22:13,05.09.2025 09:28:32,Entrance 1,Entrance 1,1
female,05.09.2025 09:22:02,05.09.2025 09:28:55,Entrance 1,Entrance 1,2
female,05.09.2025 09:22:05,05.09.2025 09:29:05,Entrance 1,Entrance 1,1
male,05.09.2025 09:27:07,05.09.2025 09:30:07,Entrance 1,Entrance 2,1
male,05.09.2025 09:23:23,05.09.2025 09:30:34,Entrance 1,Entrance 1,2
male,05.09.2025 09:20:39,05.09.2025 09:30:39,Entrance 2,Entrance 2,1
male,05.09.2025 09:20:50,05.09.2025 09:30:50,Entrance 1,Entrance 1,2
female,05.09.2025 09:24:34,05.09.2025 09:31:40,Entrance 1,Entrance 1,2
male,05.09.2025 09:21:44,05.09.2025 09:31:44,Entrance 2,Entrance 1,1
male,05.09.2025 09:28:14,05.09.2025 09:31:56,Entrance 1,Entrance 2,1
female,05.09.2025 09:28:15,05.09.2025 09:32:51,Entrance 1,Entrance 1,2
female,05.09.2025 09:27:47,05.09.2025 09:33:31,Entrance 1,Entrance 2,1
male,05.09.2025 09:30:24,05.09.2025 09:34:37,Entrance 1,Entrance 1,2
male,05.09.2025 09:27:37,05.09.2025 09:34:37,Entrance 1,Entrance 1,2
male,05.09.2025 09:27:52,05.09.2025 09:34:45,Entrance 1,None,2
male,05.09.2025 09:30:47,05.09.2025 09:35:23,Entrance 1,Entrance 1,1
female,05.09.2025 09:27:42,05.09.2025 09:35:35,Entrance 1,Entrance 1,2
male,05.09.2025 09:30:25,05.09.2025 09:35:42,Entrance 2,Entrance 2,1
male,05.09.2025 09:29:56,05.09.2025 09:35:57,Entrance 1,Entrance 1,1
male,05.09.2025 09:32:14,05.09.2025 09:36:09,None,Entrance 2,1
female,05.09.2025 09:32:53,05.09.2025 09:36:17,Entrance 1,Entrance 1,1
car,05.09.2025 08:31:05,05.09.2025 09:36:33,None,None,1
male,05.09.2025 09:33:32,05.09.2025 09:36:52,Entrance 1,Entrance 1,1
female,05.09.2025 09:29:38,05.09.2025 09:38:20,Entrance 2,Entrance 2,1
car,05.09.2025 08:35:14,05.09.2025 09:38:28,None,None,2
female,05.09.2025 09:33:32,05.09.2025 09:38:30,Entrance 1,Entrance 1,1
male,05.09.2025 09:35:43,05.09.2025 09:38:43,None,Entrance 1,1
male,05.09.2025 09:35:30,05.09.2025 09:38:48,Entrance 1,None,1
male,05.09.2025 09:30:16,05.09.2025 09:40:08,Entrance 1,Entrance 1,2
female,05.09.2025 09:33:43,05.09.2025 09:40:34,Entrance 2,Entrance 2,1
male,05.09.2025 09:35:49,05.09.2025 09:40:48,Entrance 1,Entrance 1,1
male,05.09.2025 09:36:43,05.09.2025 09:40:53,Entrance 1,Entrance 1,2
male,05.09.2025 09:34:24,05.09.2025 09:40:56,Entrance 1,Entrance 1,2
male,05.09.2025 09:32:03,05.09.2025 09:41:31,Entrance 2,Entrance 1,1
female,05.09.2025 09:36:48,05.09.2025 09:41:34,Entrance 1,Entrance 1,2
male,05.09.2025 09:38:15,05.09.2025 09:41:39,Entrance 1,Entrance 1,1
car,05.09.2025 07:20:31,05.09.2025 09:41:56,None,None,2
female,05.09.2025 09:38:30,05.09.2025 09:42:00,Entrance 1,Entrance 2,1
car,05.09.2025 08:06:13,05.09.2025 09:42:13,None,None,1
female,05.09.2025 09:34:59,05.09.2025 09:42:18,Entrance 2,Entrance 2,1
male,05.09.2025 09:39:30,05.09.2025 09:42:30,Entrance 1,Entrance 1,1
female,05.09.2025 09:38:02,05.09.2025 09:43:13,Entrance 1,Entrance 2,1
female,05.09.2025 09:34:46,05.09.2025 09:43:28,Entrance 1,Entrance 1,2
male,05.09.2025 09:37:28,05.09.2025 09:43:41,Entrance 2,Entrance 2,1
female,05.09.2025 09:37:38,05.09.2025 09:43:51,Entrance 1,Entrance 1,1
male,05.09.2025 09:36:04,05.09.2025 09:44:05,Entrance 1,Entrance 1,2
car,05.09.2025 08:25:44,05.09.2025 09:44:21,None,None,1
female,05.09.2025 09:39:48,05.09.2025 09:44:25,Entrance 1,Entrance 1,2
female,05.09.2025 09:41:09,05.09.2025 09:45:13,Entrance 1,Entrance 1,1
male,05.09.2025 09:37:14,05.09.2025 09:46:35,Entrance 1,Entrance 1,1
male,05.09.2025 09:36:47,05.09.2025 09:46:47,Entrance 2,Entrance 2,1
female,05.09.2025 09:40:37,05.09.2025 09:48:30,Entrance 2,Entrance 2,1
female,05.09.2025 09:38:34,05.09.2025 09:48:34,Entrance 2,Entrance 1,1
male,05.09.2025 09:39:13,05.09.2025 09:49:13,Entrance 2,Entrance 2,1
car,05.09.2025 08:59:01,05.09.2025 09:50:47,None,None,1
male,05.09.2025 09:41:05,05.09.2025 09:51:05,Entrance 1,Entrance 1,2
female,05.09.2025 09:46:13,05.09.2025 09:52:49,Entrance 1,Entrance 1,2
male,05.09.2025 09:46:58,05.09.2025 09:53:55,Entrance 1,Entrance 1,2
car,05.09.2025 08:06:41,05.09.2025 09:54:28,None,None,2
